1、序号,2、您的性别:,3、您的年龄：,4、您目前所在的学校类型：,5、学校属于教研体系建设县（市、区）教研项目（中山小榄）中哪一类：,6、本学期，您任教的学科是:,7、您的教龄（正式教学年限）：,8、您是否担任过以下职务（可多选）：(备课组长),8、(教研组长),8、(教务主任/教学副校长),8、(校本课程开发负责人),8、(暂无担任),9、您是否参加过与“课程领导力”相关的教师培训或课题项目？,10、您的最高学历：,11、您目前的职称：,12、您当前任教的学校名称是：,13、您最高学历所学的专业类别是?,14、您是否是师范类专业毕业?,15、您的岗位性质是:,16、您目前任教的年级是:【可多选】(小学一年级),16、(小学二年级),16、(小学三年级),16、(小学四年级),16、(小学五年级),16、(小学六年级),16、(初一),16、(初二),16、(初三),16、(高一),16、(高二),16、(高三),17、您在本学期是否担任班主任:,创新教学观总分,创造力效能感总分,创造性教学情况总分,创造力成长观总分
1,1,6,1,3,1,6,0,0,0,0,1,2,2,2,19,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,54,24,112,30
2,1,6,1,1,12,6,0,0,0,0,1,2,2,2,19,4,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,54,24,112,40
3,2,4,1,3,2,3,0,0,0,0,1,2,2,1,19,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,67,18,97,35
4,1,6,1,3,2,6,0,0,1,0,0,1,2,3,12,5,1,2,0,0,0,1,1,1,0,0,0,0,0,0,2,53,24,112,30
5,2,4,1,2,15,6,0,0,1,0,0,1,2,3,30,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0,2,90,24,140,50
6,2,4,4,3,1,5,0,0,1,0,0,1,2,1,44,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,78,20,119,40
7,1,6,1,3,1,6,0,0,1,1,0,1,2,3,10,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,90,28,140,41
8,1,4,1,3,11,4,0,0,0,0,1,2,2,1,21,5,1,3,1,0,0,0,0,1,0,0,0,0,0,0,2,60,16,56,30
9,2,6,1,3,1,6,1,1,1,0,0,2,2,3,16,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,90,24,112,38
10,1,6,1,1,1,6,0,0,0,0,1,1,2,2,19,6,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,60,16,84,30
11,1,3,1,3,11,4,0,0,0,1,0,2,3,2,19,5,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,74,24,124,37
12,2,2,4,3,2,3,0,0,0,0,1,2,2,1,43,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,60,16,84,30
13,1,2,4,3,11,2,0,0,0,0,1,2,2,1,43,5,1,4,0,1,0,1,0,1,0,0,0,0,0,0,2,71,24,112,34
14,2,5,4,1,13,6,1,0,0,0,0,2,2,1,43,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,2,60,16,84,30
15,2,2,4,1,3,4,1,0,0,0,0,2,2,4,43,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,54,24,118,30
16,2,2,4,3,9,1,0,0,0,0,1,2,2,1,43,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,60,16,84,30
17,2,2,4,1,1,2,0,0,0,0,1,2,2,1,43,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,83,28,137,37
18,1,2,4,3,7,3,0,0,0,0,1,2,2,1,43,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,66,20,111,35
19,1,1,4,3,3,3,0,0,0,0,1,2,2,2,43,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,60,16,84,30
20,2,2,4,3,10,2,0,0,0,0,1,2,2,1,43,3,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,71,28,140,32
21,2,1,4,3,7,2,0,0,0,0,1,2,2,1,43,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,66,28,131,32
22,2,1,4,3,1,2,1,0,0,0,0,2,2,1,43,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,66,22,107,37
23,2,3,4,3,2,5,0,1,0,0,0,2,2,1,43,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,90,28,133,43
24,2,3,4,1,5,3,0,0,0,0,1,2,2,1,43,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,2,60,22,80,30
25,2,2,4,3,1,3,0,0,0,0,1,2,2,1,43,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,69,18,83,35
26,2,2,4,3,13,4,1,1,0,0,0,2,2,1,43,4,1,4,1,1,1,0,1,1,0,0,0,0,0,0,2,91,28,140,49
27,2,2,4,3,3,3,0,0,0,0,1,2,3,1,43,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,90,24,114,43
28,2,1,4,3,8,2,0,0,0,0,1,2,2,1,43,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,67,20,108,31
29,2,4,4,3,3,2,0,0,0,0,1,1,2,1,43,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,74,20,107,36
30,1,2,4,3,15,3,0,0,0,0,1,2,2,1,43,2,1,4,1,1,1,1,1,1,1,1,1,0,0,0,2,21,4,77,10
31,1,3,4,3,3,5,0,1,0,0,0,1,2,4,43,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,97,24,110,36
32,2,3,4,3,3,4,0,0,0,0,1,2,2,1,43,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,55,16,106,32
33,2,5,1,3,1,5,0,0,0,0,1,2,2,2,19,6,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,72,8,102,37
34,2,3,4,3,2,3,0,1,0,0,0,2,2,1,43,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,57,20,84,30
35,2,4,1,1,3,3,0,0,0,0,1,1,2,1,19,6,2,3,0,0,1,0,0,1,0,0,0,0,0,0,2,73,24,137,35
36,2,5,1,3,2,6,0,0,0,0,1,2,2,2,19,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,80,16,90,34
37,2,4,4,3,1,5,1,1,0,0,0,2,2,1,43,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,60,16,84,30
38,2,1,4,3,9,2,0,0,0,0,1,2,2,1,43,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2,59,16,87,32
39,2,2,4,3,1,3,0,0,0,0,1,2,2,1,43,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,55,18,75,29
40,2,2,4,3,3,3,1,0,0,0,0,1,2,1,43,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,68,17,111,41
41,2,2,4,3,3,3,1,1,0,0,0,2,2,1,43,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,2,68,16,83,30
